,商品名称,数量
619,『一见倾心』11枝粉色玫瑰花+一枝绣球搭配洋桔梗 送人鲜花店	,5
640,『盛夏光年』7瓶爽歪歪搞怪花束送女友秋天的第一个快乐	,5
637,『琴耽瑟好』红玫瑰搭配香槟玫瑰手捧花送爱人送老婆爱意无价	,5
1234,百合（到店自取）	,5
648,『光明磊落』19支粉康乃馨搭配尤加利花束送长辈送父亲礼物鲜花	,5
776,『情真意切』红玫瑰搭配相思梅栀子叶礼盒520送女友情人节鲜花	,5
1462,『羞花闭月』9枝红玫瑰花简约韩式黑纱花束生日鲜花礼物花店鲜花	,5
1459,『目不转睛』 9枝粉玫瑰花束生日鲜花礼物花店鲜花	,5
606,『鹏程万里』3朵向日葵搭配玫瑰混搭花束毕业季礼物送老师送同学	,5
650,『幸福有你』19枝康乃馨花束送父母送女友生日鲜花	,5
805,满天星『粉色爱恋』送恋人送女朋友送爱情送亲人	,5
602,『ins风格』单枝玫瑰简约花束特价自取款（颜色可选）	,5
1489,『爱丽舍』高端蓝色满天星搭配9枝白玫瑰大花束生日鲜花礼物	,4
1496,『红红火火』三脚架开业花篮婚礼布置结婚礼仪演唱会庆典（一对）	,4
1504,『伊人夕岸』向日葵搭配小雏菊尤加利花束生日鲜花礼物花店鲜花	,4
1552,『优质绿植』精品长藤绿萝居家绿植送朋友送客人	,4
1547,『冷香金倪』11朵玫瑰花混搭送闺蜜女友生日礼物秋天的第一束花	,4
1463,『岁月如歌』3枝向日葵搭配桔梗花束生日鲜花礼物	,4
873,开业花篮A款	,4
867,『日常家居鲜花』3枝白玫瑰（不带瓶装）	,4
1098,『吉祥开业』三脚架开业花篮婚礼布置结婚礼仪演唱会庆典（一个）	,4
1456,『鸳俦凤侣』混搭玫瑰搭配小雏菊尤加利花束送老婆送爱人生日鲜花	,4
729,『笙磬同音』白玫瑰搭配小雏菊手捧花送爱人送老婆爱意无价	,4
788,『梦想成真』戴安娜白玫瑰混搭手提鲜花花篮 送情人 送闺蜜	,4
1237,『店长推荐』4枝向日葵搭配洋甘菊生日礼物男士鲜花花束	,4
755,『鸿运昌盛』三脚架开业花篮婚礼布置结婚礼仪演唱会庆典（一对）	,4
759,9朵香槟玫瑰韩式花束	,4
1524,『花光柳影』向日葵混搭玫瑰桔梗尤加利小雏菊精美小花束	,4
1515,『青春无限』7瓶爽歪歪搞怪花束送女友秋天的第一个快乐	,4
1520,『伊人夕岸』三枝向日葵搭配小雏菊尤加利小花束送老婆送爱人	,4
737,『爱的约定』11枝红玫瑰搭配桔梗韩式花束	,4
738,『福开新运』开业花篮婚礼布置结婚礼仪演唱会庆典（一个）	,4
739,两枝白桔梗搭配康乃馨红豆满天星	,4
1501,自取款---蓝色满天星冰淇凌花束	,4
1601,『白头相守』11枝红玫瑰花束生日鲜花礼物花店鲜花	,4
672,『天作之合』19枝红玫瑰搭配桔梗手提花篮520情人节礼物鲜花	,4
660,多头白百合瓶插花	,4
662,『美轮美奂』9枝红玫瑰搭配满天星花束	,4
663,超香黄百合3支9朵花家居花摆设鲜花（仅自取）	,4
664,『旷世容颜』11枝香槟玫瑰搭配桔梗尤加利送女友花束	,4
665,『目不转睛』 9枝粉玫瑰花束 送女友七夕礼物鲜花	,4
666,『情真意切』11枝粉玫瑰满天星花束七夕情人节礼物鲜花	,4
667,『初恋的味道』9枝粉玫瑰花搭配满天星花束七夕情人节鲜花	,4
668,香槟色玫瑰	,4
669,情投意合11枝红玫瑰搭配尤加利花束七夕情人节礼物鲜花店	,4
670,『冰魂雪魄』5朵百合小型花束 教师节礼物 送老师283	,4
673,『Classic E1款』52枝粉玫瑰鲜花儿花束送女友鲜花店	,4
674,『心心念念』9枝白粉瑰混搭花束情人节 鲜花店爆款	,4
675,『方兴日盛粉色满天星+粉色玫瑰+粉色扶郎韩式开业花篮一对	,4
676,『时光荏苒』33枝红玫瑰520表白手提花篮送女友送闺蜜鲜花店	,4
677,『芬芳馥郁』11枝红玫瑰搭配满天星花束七夕礼物情人节鲜花	,4
678,?爆品?单枝精品红玫瑰 样式随机 仅限到店自提 介意勿拍	,4
661,典雅高贵香槟	,4
659,『超值自取款』彩灯波波球	,4
680,香玫瑰	,4
658,『感慨万千』33枝粉玫瑰搭配尤加利抱抱桶 女神节礼物	,4
638,『瓜瓞延绵』红玫瑰搭配香槟玫瑰尤加利手捧花送爱人爱意无价	,4
639,金钱树带盆	,4
642,『鹏程万里』3朵向日葵搭配桔梗花束毕业季送老师送同学	,4
643,『海誓山盟』33枝红色玫瑰花搭配青梅红豆送人鲜花送女友鲜花店	,4
644,『优质绿植』金钱树居家绿植送朋友送客人绿植	,4
645,满天星怦然心动	,4
646,『妈妈的爱』19枝粉色康乃馨+绣球配草混搭抱抱桶女神节礼物	,4
647,『Lovely D8款』33枝香槟玫瑰花圣诞节礼盒	,4
649,『店铺推荐』优质小绿萝一盆居家送朋友送客户绿植（自取款）	,4
651,尊师重道教师节花束送老师	,4
652,（至尊）星语星愿蓝妖礼盒	,4
653,黄金乒乓菊	,4
654,爱你到永久（11红玫瑰）	,4
655,折射多头玫瑰	,4
656,康乃馨	,4
679,『甘棠之爱』19枝红玫瑰搭配尤加利韩式花束七夕情人节礼物鲜花	,4
682,『Goddess D8款』33枝红玫瑰天心礼盒圣诞节鲜花	,4
681,『星空』11枝粉玫瑰花束满天星花束送爱人送闺蜜爆款	,4
683,天鹅绒、仙气十足（一公里内免费配送）	,4
701,礼盒蓝色满天星	,4
702,『情意绵绵』11枝粉玫瑰搭配满天星生日礼物鲜花店	,4
717,『爱的想念』红玫瑰搭配向日癸手提鲜花花篮 送情人 送闺蜜	,4
703,『永不变心』香槟绿康绣球混搭鲜花花篮 送情人 送闺蜜鲜花	,4
704,『缕缕清香』52枝红玫瑰搭配黑纱七夕情人节礼物鲜花店	,4
705,『岁月静好』11枝粉玫瑰搭配乒乓菊尤加利送女友韩式花束	,4
706,向日葵玫瑰洋桔梗混搭	,4
698,红玫瑰	,4
707,『福开新运』开业花篮(一对）	,4
708,向日葵香槟玫瑰混搭花束	,4
709,蓝色满天星	,4
710,粉色洋桔梗	,4
711,一生一世 11朵红玫瑰花束	,4
1609,『怡情悦性』11枝香槟玫瑰花束生日鲜花礼物花店鲜花	,4
699,【店家推荐】向日葵搭配玫瑰小花束促销爆款自取款	,4
700,『优质绿植』加仑盆小绿箩居家送朋友送客人	,4
697,『店家推荐』单枝向日葵特价家具鲜花自取款（不带瓶）	,4
689,『店家爆款』3枝玫瑰散装 仅售3元自取款 可选颜色	,4
685,财运滚滚发财树绿植盆栽（两颗）	,4
687,点击右上角【?收藏】享特惠小灯串～（不收藏拍下无效噢）	,4
688,『感恩教师』5枝康乃馨搭配满天星花束教师节 不带盒子	,4
684,『滴滴汗水』8枝康乃馨+5枝粉玫瑰礼盒教师节鲜花	,4
696,岁月无声【19枝粉玫瑰搭配满天星七夕情人节表白礼盒】	,4
691,『花成蜜就』33枝粉色康乃馨搭配情人草花束38女神节鲜花	,4
692,『温情密意』11枝红色康乃馨8枝红玫瑰配草抱抱桶送父母	,4
693,『Blue D7款』33枝蓝妖鲜花儿+配草 花束	,4
694,『女 神 节』19枝红色康乃馨搭配满天星花束 女神节礼物	,4
695,（自取）『感恩教师』5枝康乃馨搭配满天星花束教师节送老师鲜花	,4
1584,『贺卡』需与花束搭配下单 此贺卡内容为机器打印	,4
686,『日夜操劳』33支香槟玫瑰搭配尤加利花束送长辈送父亲礼物鲜花	,4
888,『锲而不舍』19枝粉玫瑰搭配尤加利花束七夕礼物情人节鲜花	,3
1611,『花光柳影』向日葵混搭玫瑰花尤加利精美花束生日鲜花礼物	,3
1613,『豆蔻年华』11枝粉玫瑰搭配满天星花束礼物鲜花生日鲜花	,3
880,两枝白桔梗搭配康乃馨红豆白色满天星	,3
885,天堂鸟搭配灰色瓷盆A	,3
832,『优质绿植』万年青居家绿植送朋友送客人绿植	,3
815,『感谢师恩』5枝康乃馨搭配尤加利花束 教师节礼物 送老师	,3
934,『滴水之恩』19枝粉康乃馨混搭玫瑰母亲节送父母鲜花	,3
931,『父母恩勤』4朵向日葵搭配洋桔梗花束七夕礼物送老师送同学	,3
1294,『日常家居鲜花』3枝白色乒乓菊（不带瓶装）	,3
937,『一世情缘』13枝郁金香花束	,3
938,『心有阳光』9朵向日葵搭配绣球花束毕业季礼物送老师送同学鲜花	,3
952,纯纯的爱11朵白玫瑰配尤加利叶礼盒鲜花	,3
984,『莺声婉啭』9枝粉玫瑰搭配蓝粉满天星花束送女友送老婆鲜花	,3
1058,单枝向日葵不配送不带包装	,3
1109,『杨柳宫眉』草莓味棒棒糖搭配奥利奥包秋天的第一个包包	,3
1293,『日常家居鲜花』小束洋甘菊（不带瓶装）	,3
1457,『香橙』19枝香槟玫瑰礼盒鲜花生日鲜花礼物花店鲜花	,3
1511,『吹气如兰』12瓶旺仔牛奶搭配尤加利花束送女友送爱人送老婆	,3
1564,『和气生财』大麦大卖开业花篮一对	,3
1500,『爱不释手』8枝粉玫瑰+3枝白玫瑰礼盒礼物鲜花生日鲜花	,3
1572,『鸳俦凤侣』混搭玫瑰搭配小雏菊尤加利花束送老婆送爱人女朋友	,3
813,『眉目如画』33枝红玫瑰黑纱爆款花束 女神节送女友鲜花爆款	,3
814,情人节 表白神器 脱单必备  19枝香槟玫瑰+2只小熊鲜花礼	,3
807,『花信年华』11红玫瑰花七夕情人节礼物鲜花店	,3
794,『遇见美好』19枝香槟玫瑰搭配红豆礼盒送女友送爱人鲜花店	,3
766,家居瓶插	,3
765,『相见恨晚』11枝香槟玫瑰搭配满天星礼盒七夕情人节	,3
764,『彼岸花开 』11枝红玫瑰搭配满天星礼盒七夕情人节鲜花店	,3
763,润物无声教师节特别款	,3
762,七夕节送老婆送女友11朵香槟玫瑰配尤加利叶	,3
760,香槟玫瑰家居瓶插	,3
804,『始终如一』19枝粉玫瑰搭配相思梅礼盒七夕礼物情人节鲜花	,3
758,『一吻便偷一人心』19枝粉玫瑰搭配尤加利韩式花束情人节送女友	,3
757,『钟灵毓秀』11枝粉玫瑰搭配尤加利礼盒七夕节送女友鲜花店	,3
806,『触目惊心』11枝红康乃馨搭配尤加利礼盒母亲节送父母鲜花	,3
756,迷你小花束	,3
746,爱意满满——19红玫瑰礼盒	,3
795,『共度爱河』33枝粉玫瑰搭配尤加利抱抱桶情人节送女友鲜花店	,3
754,『长相厮守』11枝红玫瑰搭配尤加利花束七夕情人节礼物鲜花店	,3
753,『朝朝暮暮』99枝红玫瑰送女友花束推荐鲜花店	,3
808,『傲然挺立』19支香槟玫瑰搭配相思梅礼盒送父亲礼物鲜花	,3
752,『白璧无瑕』5枝百合搭配3枝玫瑰小型花束鲜花七夕礼物送女友	,3
751,『艳丽夺目』33枝红玫瑰精致韩式花束七夕情人节礼物鲜花店	,3
750,『店铺推荐』单枝粉玫瑰七夕情人节鲜花自取款	,3
749,『红艳欲滴』24枝红玫瑰搭配满天星花束七夕情人节礼物鲜花店	,3
748,『店家推荐』店铺特价小花瓶送朋友自取款花瓶	,3
801,『师古圣贤』19枝香槟玫瑰+2枝向日葵搭配月季花篮	,3
809,『春风得意』11枝黄玫瑰搭配黄莺礼盒七夕礼物送女友鲜花	,3
767,『师恩难忘』33枝康乃馨搭配尤加利花束 教师节礼物 送老师	,3
768,德才兼备教师节粉色康乃馨19朵鲜花	,3
793,『炽天使』礼盒抖音爆款21只红玫瑰 送女友送闺蜜送情人鲜花	,3
769,『感恩教师』5枝康乃馨搭配尤加利花束教师节送老师鲜花	,3
802,温暖时光【19枝香槟玫瑰搭配尤加利七夕情人节表白礼盒】	,3
790,爱意绵绵9枝混搭玫瑰韩式花束送女友送老婆鲜花	,3
789,『四季发财』三脚架开业花篮 开业礼仪结婚 婚礼花篮演唱会礼品	,3
787,『百年树人』高雅花篮搭配粉康乃馨送老师送长辈鲜花	,3
800,单支向日葵小花束	,3
803,向日葵3支香槟玫瑰洋桔梗混搭花束	,3
786,『如影随行』11枝粉色康乃馨搭配情人草礼盒鲜花	,3
799,粉紫色乒乓菊	,3
792,春雨潇潇【19枝粉玫瑰搭配尤加利七夕情人节表白礼盒】	,3
785,香水白色百合	,3
784,『日常家居鲜花』小束粉色满天星（一公里内配送）	,3
783,『凤翥龙翔』红玫瑰混搭红康乃馨手捧花送爱人送老婆爱意无价	,3
782,『长相厮守』33枝混搭玫瑰花束送女友送闺蜜生日鲜花	,3
781,『走南闯北』33支红康乃馨搭配尤加利红豆花束送父亲礼物鲜花	,3
780,蓄水绿箩5盆	,3
779,『欢喜』多头百合搭配向日葵混搭花束毕业季送老师送同学	,3
778,风情月意19枝粉玫瑰搭配尤加利韩式花束七夕情人节礼物鲜花	,3
777,『DH12』33枝红玫瑰浪漫花束七夕情人节礼物	,3
775,[向阳花]5支向日葵香槟玫瑰洋桔梗混搭精美花束	,3
774,『繁花似锦』33枝红玫瑰搭配彩灯韩式花束七夕情人节鲜花	,3
773,今日特推-9枝粉玫瑰满天星花束（这款3公里内免费配送）	,3
771,『甜蜜蜜』三支红玫瑰搭配满天星尤加利自取款（5份以上配送）	,3
770,单枝红玫瑰自取款（不配送）	,3
747,『店铺推荐』单款满天星小花束自取款（备注颜色或随机）	,3
791,怦然心动红玫瑰11支	,3
724,『烟暖初妆』33枝红玫瑰搭配尤加利礼盒520情人节礼物鲜花	,3
730,『一代佳人』13枝红色康乃馨搭配9枝粉玫瑰礼盒女神节鲜花礼物	,3
713,『依依不舍』9朵向日葵搭配红豆韩式花束毕业季礼物送闺蜜送同学	,3
727,『情深似海』混搭满天星鲜花花束七夕情人节送女友礼物鲜花	,3
714,开业花篮B款 (一对）	,3
715,『花样年华』99枝粉玫瑰送女友花束 推荐鲜花店	,3
726,开业盆景摇钱树	,3
725,『日增月盛马卡龙气球+玫瑰+桔梗+小雏菊 开业花篮一对	,3
745,自取款----{精致花瓣一片}	,3
796,『桃李争妍』33枝粉康乃馨花束母亲节送父母送长辈 鲜花	,3
716,『美丽动人』9枝粉玫瑰搭配尤加利花束七夕情人节礼物鲜花店	,3
723,『Classic B4款』表白神器11枝红玫瑰送女友送闺蜜	,3
718,发财树开业乔迁送礼	,3
722,『情真意切』11枝粉玫瑰尤加利送女神爱人情人节鲜花花束	,3
720,『真爱粉』单枝粉玫瑰 款式随机 仅限到店自取 不配送	,3
812,『地久天长』33枝粉色玫瑰花搭配尤加利 送人鲜花送女友鲜花店	,3
719,『两厢情愿』11枝红玫瑰搭配尤加利满天星花束七夕情人节鲜花	,3
712,『余生久久』99枝红玫瑰花束求婚送女友送老公生日鲜花	,3
728,开业发财树盆景	,3
736,『父为子隐』多头百合搭配红豆花束送长辈送父亲礼物鲜花	,3
735,『优雅告白』52枝红玫瑰花束求婚送女友鲜花	,3
744,『爆款推荐』单枝向日葵搭配尤加利鲜花花束	,3
810,特价蓄水红盆绿箩1盆	,3
743,『美丽动人』11枝粉玫瑰搭配满天星韩式花束生日礼物鲜花	,3
798,向阳花[3支向日葵洋桔梗尤加利混搭精美花束	,3
742,『相敬如宾』19枝粉玫瑰鲜花花束七夕情人节送女友鲜花	,3
811,七夕小仙女小彩灯	,3
740,『Black yarn C2款』52枝红玫瑰黑纱圣诞节花束	,3
797,『婀娜妖娆』6枝红玫瑰搭配尤加利花束送老婆送女友鲜花	,3
734,『连枝比翼』11枝香槟玫瑰搭配尤加利礼盒七夕礼物情人节鲜花	,3
733,『情意绵绵』19枝红玫瑰搭配满天星花束七夕情人节礼物鲜花店	,3
732,送老师花礼	,3
731,15支康乃馨鲜花花篮送老师教师节礼物	,3
980,『方兴日盛粉色玫瑰开业花篮一对	,2
1157,『盈盈秋水』6罐旺仔牛奶搭配19朵混搭玫瑰花束送女友送老婆	,2
816,『恩恩爱爱』混搭玫瑰韩式花束送女友送老婆鲜花（一公里内配送）	,2
1150,『欢呼雀跃』六一儿童创意礼A款送儿童送老师礼物鲜花	,2
979,圣洁至爱 11朵百合花束	,2
1121,『优质绿植』散尾葵居家绿植送朋友送客人绿植A	,2
981,『星光璀璨时尚满天星韩式开业花篮一对	,2
977,『来自星星的你』蓝色满天星礼盒七夕情人节礼物送女友推荐鲜花	,2
982,『花晨月夕』11枝红玫瑰搭配尤加利韩式花束送女友送老婆鲜花	,2
978,『吉祥开业』三脚架开业庆典花篮（一对）	,2
1216,【天长地久】99朵戴安娜白色雾面包装赠送皇冠	,2
999,『纤尘不染』52枝粉玫瑰搭配满天星韩式花束七夕情人节鲜花店	,2
983,『折柳攀花』9枝红玫瑰搭配白色满天星花束送女友送老婆鲜花	,2
985,『玫瑰花开』99枝红玫瑰韩式花束七夕情人节送女友送老婆鲜花	,2
998,『热烈』3朵向日葵搭配洋桔梗花束七夕礼物送老师送同学	,2
1074,『大展宏图』开业花篮婚礼布置结婚礼仪演唱会庆典（一对）	,2
1079,『淡雅』3枝向日葵搭配桔梗花束七夕情人节礼物鲜花店	,2
997,夏日小清新洋甘菊	,2
996,爱你久久，九朵红攻	,2
995,蓝色满天星简单小花束	,2
994,『天天向上』12枝向日葵搭配康乃馨花束毕业季送老师同学鲜花	,2
1080,『天天想你』粉色满天星　迷你小花束	,2
993,『日常家居鲜花』3枝白色乒乓菊（一公里内配送）	,2
992,『Lovely B2款』19枝粉玫瑰+2只小熊 情人节节礼盒	,2
991,『秀丽淡雅』19枝红玫瑰搭配尤加利花束七夕情人节礼物鲜花店	,2
989,『形影不离』红玫瑰搭配乒乓菊尤加利手提花篮520情人节鲜花	,2
988,满天星干花风干而成	,2
987,『亭亭玉立』6枝蓝玫瑰配尤加利韩式花束情人节七夕礼物鲜花	,2
986,『知恩图报』19枝粉色康乃馨搭配相思梅礼盒母亲节送父母鲜花	,2
1050,『情投意合』33枝粉玫瑰搭配满天星花束七夕礼物情人节鲜花	,2
1483,自取款--粉色满天星冰淇凌花束	,2
1227,『来自星星的你』蓝色满天星高档礼盒	,2
1536,三支向日葵搭配玫瑰桔梗韩式花束	,2
1544,（自取款）随机小花不配送	,2
1548,开业庆典单层花篮套餐	,2
1550,『伶俐乖巧』向日葵搭配洋桔梗小花束毕业季送老师送师生鲜花	,2
1555,『隆声援布』开业花篮演唱会庆典婚礼布置开业礼仪 （单个）	,2
1561,『彩灯装饰』收藏店铺和花一起拍下送	,2
1563,『玲珑剔透』6枝红玫瑰搭配11块黑巧克力礼盒送女友送爱人	,2
1565,『情意绵绵』11枝粉玫瑰搭配桔梗尤加利七夕情人节礼物鲜花花束	,2
1567,『美轮美奂』9枝红玫瑰搭配满天星韩式精致花束送女友闺蜜鲜花	,2
1571,『与尔携老』11枝香槟玫瑰搭配白色满天星七夕节送女友鲜花	,2
1580,『锲而不舍』11枝粉玫瑰搭配满天星花束七夕礼物情人节鲜花	,2
1581,『典则俊雅』9枝白玫瑰蓝绣球搭配尤加利配花送女友送爱人鲜花	,2
1582,『高情逸态』11枝香槟玫瑰蓝绣球搭配尤加利花束送女友鲜花	,2
1583,『财通四海』大麦开业花篮（单个）	,2
1593,『春花秋月』混搭玫瑰花搭小雏菊生日鲜花礼物花店鲜花	,2
1594,『至死不渝』满天星鲜花花束送女友生日鲜花礼物	,2
1616,『日常家居鲜花』3枝向日葵（不带瓶装）	,2
1618,『春光明媚』9枝蓝色妖姬爱心礼盒赠10巧克力生日鲜花礼物	,2
1542,『秋风习习』粉色满天星花束送女友送爱人礼物鲜花	,2
1532,【向阳而生】单枝向日葵混搭花束	,2
1291,『一生情缘』11枝粉玫瑰搭配桔梗混搭鲜花束送女友七夕礼物鲜花	,2
1530,『林下风气』11枝红玫瑰搭配白色满天星花束爱意无价送女友	,2
1292,『精品绿植』园盆绿萝居家绿植送客人送朋友	,2
1297,『日常家居鲜花』3枝粉玫瑰（不带瓶装）	,2
1363,蓝色满天星搭配9朵白玫瑰花束	,2
1368,教师节快乐19朵粉色康乃馨搭配百合花束	,2
1406,『日进斗金气球+桔梗+小雏菊开业花篮一对	,2
1407,『风舒柳眼』11枝精致粉玫瑰搭配精致配草送爱人送老婆	,2
1430,『翩若惊鸿』99枝红玫瑰黑纱花束七夕情人节送女友鲜花	,2
1475,『烟暖初妆』33朵红玫瑰花送爱人女友生日礼物惊喜配送上门	,2
1479,『日常家居鲜花自取款』单只百合粉色A级 起订2枝	,2
975,『暖心唠叨』【33朵粉康搭配满天星】-生日鲜花长辈甄选	,2
1491,『Niu郎款』11枝红玫瑰花束生日鲜花礼物花店鲜花	,2
1492,『日常家居鲜花』5枝白百合（一公里内配送，不带瓶装。）	,2
1497,19朵香水百合韩式花束送女友送老婆鲜花	,2
1506,『亭亭玉立』11枝粉玫瑰配尤加利韩式花束生日鲜花礼物鲜花	,2
1510,『霞裙月帔』草莓味棒棒糖搭配薯片包秋天的第一个包包	,2
1514,『装饰彩灯』保存店铺和花一起拍下，单拍无效	,2
1517,『蒸蒸日上』韩式开业花篮一对	,2
976,『Lovely D4款』33枝粉康乃馨+2只小熊礼盒	,2
1626,大卖大卖网红大麦开业花篮一个A款	,2
974,9朵红玫瑰简约花束	,2
841,进口雏菊机选可备注颜色	,2
863,『日常家居鲜花』小束蓝色满天星（不带瓶装）	,2
864,『日常家居鲜花』3枝白色洋桔梗（一公里内配送，不带瓶装。）	,2
865,『日常家居鲜花』3枝乒乓菊（不带瓶装）	,2
866,『日常家居鲜花』3枝红玫瑰（不带瓶装）	,2
868,『烛光万里』精致包装搭配粉色满天星花束教师节送老师鲜花	,2
942,『朝朝暮暮』52枝红玫瑰送女友情人节鲜花	,2
869,康乃馨小花束	,2
870,家居尤加利瓶	,2
871,满天星以爱为名	,2
872,『日常家居鲜花』4枝紫色雏菊（一公里内配送）	,2
874,『Classic C4款』19红玫瑰鲜花+2只小熊送女友礼盒	,2
875,橱窗礼盒满天星	,2
876,『一顾倾城』6枝向日葵花束送女友送老婆鲜花爱意无价	,2
877,一寸一相思【11枝红玫瑰搭配满天星七夕情人节表白礼盒】	,2
878,『店家爆款』19枝玫瑰简装 自取款 可选颜色	,2
879,11朵香槟玫瑰花束	,2
881,『守护爱情』19枝康乃馨礼盒送父母送亲人鲜花	,2
882,『天生丽质』向日葵粉康乃馨洋桔梗小花束毕业季送老师自取款	,2
883,『樱花落』52枝混搭玫瑰花束七夕情人节礼物送女友生日 鲜花店	,2
884,【铂金玫瑰】11只铂金玫瑰礼盒 搭配一对小熊送爱人送朋友	,2
886,『与尔携老』19枝红玫瑰鲜花花束七夕节送女友鲜花	,2
861,『感恩教师』满天星花束搭配礼品袋教师节送老师鲜花	,2
860,『夜色阑珊』19枝红玫瑰搭配黄英礼盒七夕节送女友鲜花店	,2
859,『感恩教师』5枝康乃馨搭配满天星花束送老师（不包括橱窗礼盒）	,2
849,『优质绿植』小绿萝居家绿植送朋友送客人绿植	,2
842,『爱情爱情』19枝红玫瑰搭配两朵百合鲜花圣诞节礼盒109	,2
843,『爆款推荐』11枝红玫瑰搭配满天星韩式花束送女友告白款	,2
946,一日为师	,2
945,99朵香槟玫瑰	,2
844,[向日葵的微笑]3支向日葵尤加利混搭精美花束	,2
845,『日常家居鲜花』1枝白玫瑰（一公里内配送，不带瓶装。）	,2
846,粉色拉丝太阳花	,2
847,『依依不舍』玫瑰混搭手提鲜花花篮 送情人 送闺蜜推荐鲜花	,2
848,『黄金满室向日葵+百合+玫瑰+桔梗+尤加利开业花蓝一只	,2
850,简约玻璃花瓶（自取不送）	,2
943,谁言寸草心 52朵粉康+5个乒乓菊花束母亲节送妈妈送母亲礼物	,2
851,『容颜不老』11枝香槟玫瑰搭配桔梗洋甘菊花束七夕节礼物	,2
944,『顺心如意』三脚架开业花篮婚礼布置结婚礼仪演唱会庆典（一个）	,2
852,love you创意礼盒	,2
853,3支向日葵粉色玫瑰康乃馨尤加利温馨花束	,2
854,（自取）『老师您辛苦了』单枝向日葵搭配尤加利花束教师节送老师	,2
855,『芯芯相印』圆形蜡烛一盒520送女友礼物	,2
856,『传道授业』精致包装搭配典雅粉色满天星花束送美观小灯教师节	,2
857,『珍馐美馔』精致包装搭配美艳向日葵花束送朋友送老师′	,2
858,『瓜瓞延绵』11枝香槟玫瑰搭配粉色满天星花束送情人送老婆	,2
887,『日常家居鲜花』3枝粉玫瑰（一公里内配送不带瓶装。）	,2
889,10支苏醒玫瑰（一公里内免费配送）	,2
890,『店长推荐』3枝向日葵生日礼物鲜花花束	,2
932,『宾客如云』单层开业花篮婚礼布置开业礼仪演唱会庆典（一个）	,2
915,『无私奉献』11枝粉康乃馨搭配尤加利韩式花束母亲节送父母鲜花	,2
916,『情意绵绵』19枝红玫瑰搭配尤加利叶礼盒七夕情人节礼物鲜花店	,2
917,『织女』11枝香槟玫瑰搭配尤加利花束七夕情人节礼物鲜花	,2
918,开业大吉普通金布单层开业花篮一对	,2
936,『同心同德』11枝粉玫瑰搭配银叶菊送女友女神节鲜花	,2
935,『为爱相随』33枝红玫瑰黑纱花束送女友送老公鲜花	,2
933,到店自取『爱如潮水』11枝红玫瑰花束	,2
919,【店家推荐】向日葵搭配玫瑰小花束促销爆款仅限自取	,2
920,『店家爆款』3枝玫瑰散装 仅限自取 可选颜色	,2
930,『翱翔展翅』11枝玫瑰搭配向日葵混搭抱抱桶毕业季礼物送同学	,2
913,?一生一世?11朵香槟玫瑰+白色满天星 白色雾面纸包装	,2
921,『感恩教师』5枝康乃馨搭配满天星花束送老师鲜花(无橱窗袋）	,2
922,【店家推荐】向日葵搭配桔梗小雏菊小花束活动爆款精致仅限自取	,2
929,『矢志不渝』99枝粉玫瑰搭配绿叶花束520送女友情人节鲜花	,2
928,A款玻璃花瓶	,2
927,『缤纷』33朵混搭香槟玫瑰戴安娜玫瑰送女友鲜花	,2
926,『瑰丽多彩』19枝红玫瑰闪灯搭配满天星黑纱花束送女友送老婆	,2
925,『爱的就是你』52枝红玫瑰高端心形礼盒 送女友鲜花店	,2
973,『BlackyarnB1』33枝红玫瑰黑纱情人节鲜花七夕礼物	,2
923,『BL19』11枝红玫瑰花搭配尤加利圣诞节赠巧克力米奇礼盒	,2
914,『BlackyarnB2款』33枝玫瑰鲜花花束七夕情人节礼物	,2
912,『店家爆款』19枝玫瑰 自取款 可选颜色	,2
892,『目成心许』11枝粉玫瑰七夕情人节送女友送闺蜜生日鲜花	,2
900,『爱的祝福』11枝粉康乃馨搭配情人草花束送父母鲜花	,2
893,『为爱相随』33枝红玫瑰黑纱花束送女友七夕情人节鲜花花束	,2
894,『旷世容颜』11枝香槟玫瑰搭配桔梗尤加利圣诞节花束	,2
941,『Goddess C5款』19枝香槟玫瑰+2只小熊送女友礼盒	,2
895,三生三世—33朵红玫瑰满天星礼盒	,2
896,『陌上花开』33枝香槟玫瑰搭配黄英礼盒情人节送女友鲜花店	,2
897,七夕快乐—33红玫瑰加满天星小夜灯	,2
898,翠珠、仙气十足（一公里内免费配送）	,2
899,『财源广进』50朵扶郎花+2朵百合特价双层开业花篮	,2
939,『热恋』33枝红玫瑰抱抱桶  送亲人 送闺蜜 送情人推荐	,2
901,『Classic C4款』19枝红玫瑰+2只小熊七夕情人节	,2
911,?钟爱?单枝红玫瑰 1公里内配送 1公里外拍下不配送	,2
902,【美好限定】11朵红玫瑰搭配尤加利红色花束	,2
903,爱情永固11枝红玫瑰搭配满天星礼盒七夕情人节礼物鲜花	,2
904,『唯爱一生』11枝红玫瑰搭配尤加利韩式花束送女友七夕情人节	,2
905,『爱不释手』8枝粉玫瑰+3枝白玫瑰礼盒七夕礼物情人节鲜花	,2
906,『两厢情缘』11枝红玫瑰搭配满天星花束七夕礼物情人节鲜花	,2
907,『润物无声』5朵百合小型花束 教师节礼物 送老师	,2
908,『郎哥织女』11枝香槟玫瑰尤加利送女神爱人情人节鲜花花束	,2
909,?爆款?请和花束一同下单，单拍没用，请自行退款！	,2
