,日期,订单编号,下单时间,接单时长,店铺名称,店铺ID,店铺所在城市,订单支付类型,订单状态,订单配送状态,是否预订单,订单总金额,订单折扣后金额,平台承担活动金额,商家承担活动金额,商品分类,商品名称,UPC码,商品SKU码,商品销售数量,商品原价销售额,商品实付销售额,商品总补贴金额,商品商家补贴金额,商品平台补贴金额,是否部分退款商品,部分退款商品数量,部分退款商品金额,订单小额付款,配送费,是否活动订单,优惠活动,是否催单,回复状态,商家回复内容,配送时长,打包袋费,订单完成时间,订单取消原因（仅取消订单）,接单时间
12504,	20200824-20200826,89025472386186755,2020-08-25 14:39:40	,224秒,玫瑰花屋·七夕鲜花	,8902547,周口	,在线支付,订单取消,用户提交订单,否,369.0,179.0,0.0,209.0,约惠七夕19枝	,『心有灵犀』19枝红玫瑰搭配满天星花束七夕情人节礼物鲜花店,,TH007	,1,369.0,179.0,190.0,190.0,0.0,否,0,0.0,0.0,0.0,是,满59.0元赠赠送精美贺卡（可写祝福语*1/购买『心有灵犀』19枝红玫瑰搭配满天星花束七夕情人节礼物鲜花店原价369.0元现价179.0元	,否,未回复,,0.00分,0.0,,其他	,224
12505,	20200824-20200826,89025471795091754,2020-08-25 14:40:10	,0秒,玫瑰花屋·七夕鲜花	,8902547,周口	,在线支付,订单取消,用户提交订单,否,369.0,179.0,0.0,209.0,约惠七夕19枝	,『心有灵犀』19枝红玫瑰搭配满天星花束七夕情人节礼物鲜花店,,TH007	,1,369.0,179.0,190.0,190.0,0.0,否,0,0.0,0.0,0.0,是,满59.0元赠赠送精美贺卡（可写祝福语*1/购买『心有灵犀』19枝红玫瑰搭配满天星花束七夕情人节礼物鲜花店原价369.0元现价179.0元	,否,未回复,,0.00分,0.0,,其他	,0
12507,	20200824-20200826,89025473470084206,2020-08-25 09:50:07	,9秒,玫瑰花屋·七夕鲜花	,8902547,周口	,在线支付,订单取消,用户提交订单,否,399.0,179.0,0.0,239.0,约惠七夕19枝	,『风情月意』19枝粉玫瑰搭配尤加利韩式花束七夕情人节礼物鲜花,,38014	,1,399.0,179.0,220.0,220.0,0.0,否,0,0.0,0.0,0.0,是,满59.0元赠赠送精美贺卡（可写祝福语*1/购买『风情月意』19枝粉玫瑰搭配尤加利韩式花束七夕情人节礼物鲜花原价399.0元现价179.0元	,否,未回复,,0.00分,0.0,,其他	,9
12509,	20200824-20200826,89025470358768070,2020-08-25 16:37:32	,0秒,玫瑰花屋·七夕鲜花	,8902547,周口	,在线支付,订单取消,用户提交订单,否,298.0,159.0,0.0,158.0,约惠七夕11枝	,『情投意合』11枝红玫瑰搭配尤加利花束七夕情人节礼物鲜花店,,TH002	,1,298.0,159.0,139.0,139.0,0.0,否,0,0.0,0.0,0.0,是,满59.0元赠赠送精美贺卡（可写祝福语*1/购买『情投意合』11枝红玫瑰搭配尤加利花束七夕情人节礼物鲜花店原价298.0元现价159.0元	,否,未回复,,0.00分,0.0,,其他	,0
12511,	20200824-20200826,89025474016847411,2020-08-25 16:45:56	,0秒,玫瑰花屋·七夕鲜花	,8902547,周口	,在线支付,订单取消,用户提交订单,否,298.0,159.0,0.0,158.0,约惠七夕11枝	,『情投意合』11枝红玫瑰搭配尤加利花束七夕情人节礼物鲜花店,,TH002	,1,298.0,159.0,139.0,139.0,0.0,否,0,0.0,0.0,0.0,是,满59.0元赠赠送精美贺卡（可写祝福语*1/购买『情投意合』11枝红玫瑰搭配尤加利花束七夕情人节礼物鲜花店原价298.0元现价159.0元	,否,未回复,,0.00分,0.0,,其他	,0
12512,	20200824-20200826,89025473892506751,2020-08-25 19:48:49	,0秒,玫瑰花屋·七夕鲜花	,8902547,周口	,在线支付,订单取消,用户提交订单,否,338.0,268.0,0.0,89.0,热销专区づ———	,『盛夏光年』33枝红玫瑰黑纱花束情人节送女友鲜花店,,QRJ023	,1,338.0,268.0,70.0,70.0,0.0,否,0,0.0,0.0,0.0,是,满59.0元赠赠送精美贺卡（可写祝福语*1/购买『盛夏光年』33枝红玫瑰黑纱花束七夕情人节送女友鲜花店原价338.0元现价268.0元	,否,未回复,,0.00分,0.0,,其他	,0
12513,	20200824-20200826,89025470026515543,2020-08-25 21:50:36	,47秒,玫瑰花屋·七夕鲜花	,8902547,周口	,在线支付,订单取消,用户提交订单,否,298.0,198.0,0.0,119.0,约惠七夕33枝	,『天使心跳』33枝红玫瑰圣诞节推荐鲜花店,,TSXKZK18	,1,298.0,198.0,100.0,100.0,0.0,否,0,0.0,0.0,0.0,是,满200.0元减100.0元/满59.0元赠赠送精美贺卡（可写祝福语*1	,否,未回复,,0.00分,0.0,,其他	,47
12515,	20200824-20200826,89025481269807160,2020-08-24 17:52:13	,0秒,幸福花店（七夕预定，表白，鲜花）	,8902548,黔东南苗族侗族自治州	,在线支付,订单取消,用户提交订单,是,369.0,174.0,0.0,214.0,约惠七夕19枝	,『百年偕老』19枝红玫瑰搭配尤加利礼盒七夕情人节礼物鲜花店,,ksryzk009	,1,369.0,174.0,195.0,195.0,0.0,否,0,0.0,0.0,0.0,是,满59.0元赠赠送精美贺卡（可写祝福语*1/购买『百年偕老』19枝红玫瑰搭配尤加利礼盒七夕情人节礼物鲜花店原价369.0元现价179.0元/用户使用了商家代金券减5元	,否,未回复,,0.00分,0.0,,其他	,0
12516,	20200824-20200826,89025483049752078,2020-08-24 23:15:31	,0秒,幸福花店（七夕预定，表白，鲜花）	,8902548,黔东南苗族侗族自治州	,在线支付,订单取消,用户提交订单,否,269.0,159.0,0.0,129.0,约惠七夕11枝	,『情人知己』11枝红玫瑰搭配满天星礼盒七夕情人节礼物鲜花店,,qx20200825001	,1,269.0,159.0,110.0,110.0,0.0,否,0,0.0,0.0,0.0,是,满59.0元赠赠送精美贺卡（可写祝福语*1/购买『情人知己』11枝红玫瑰搭配满天星礼盒七夕情人节礼物鲜花店原价269.0元现价159.0元	,否,未回复,,0.00分,0.0,,其他	,0
12517,	20200824-20200826,89025482141837702,2020-08-25 10:34:52	,39秒,幸福花店（七夕预定，表白，鲜花）	,8902548,黔东南苗族侗族自治州	,在线支付,订单取消,用户提交订单,否,298.0,213.0,0.0,104.0,热销专区づ———	,『情根爱胎』19枝红玫瑰搭配桔梗尤加利礼盒情人节送女友鲜花店,,QRJ011	,1,298.0,213.0,85.0,85.0,0.0,否,0,0.0,0.0,0.0,是,满59.0元赠赠送精美贺卡（可写祝福语*1/购买『情根爱胎』19枝红玫瑰搭配桔梗尤加利礼盒七夕情人节鲜花原价298.0元现价218.0元/用户使用了商家代金券减5元	,否,未回复,,0.00分,0.0,,其他	,39
12518,	20200824-20200826,89025482118209784,2020-08-25 12:53:14	,0秒,幸福花店（七夕预定，表白，鲜花）	,8902548,黔东南苗族侗族自治州	,在线支付,订单取消,用户提交订单,否,369.0,179.0,0.0,209.0,约惠七夕19枝	,『伯劳飞燕』19枝香槟玫瑰搭配尤加利礼盒七夕情人节礼物鲜花,,TH005	,1,369.0,179.0,190.0,190.0,0.0,否,0,0.0,0.0,0.0,是,满59.0元赠赠送精美贺卡（可写祝福语*1/购买『伯劳飞燕』19枝香槟玫瑰搭配尤加利礼盒七夕情人节礼物鲜花原价369.0元现价179.0元	,否,未回复,,0.00分,0.0,,其他	,0
12519,	20200824-20200826,89025482529093535,2020-08-25 13:38:53	,0秒,幸福花店（七夕预定，表白，鲜花）	,8902548,黔东南苗族侗族自治州	,在线支付,订单取消,用户提交订单,否,268.0,169.0,0.0,118.0,折扣专区づ———	,『Classic B4款』表白神器 11枝红玫瑰+配草鲜花店,,Z0019	,1,268.0,169.0,99.0,99.0,0.0,否,0,0.0,0.0,0.0,是,满59.0元赠赠送精美贺卡（可写祝福语*1/购买『Classic B4款』表白神器11枝红玫瑰七夕情人节鲜花原价268.0元现价169.0元	,否,未回复,,0.00分,0.0,,其他	,0
12520,	20200824-20200826,89025482742513103,2020-08-25 21:15:41	,0秒,幸福花店（七夕预定，表白，鲜花）	,8902548,黔东南苗族侗族自治州	,在线支付,订单取消,用户提交订单,是,598.0,259.0,0.0,358.0,约惠七夕19枝	,『幽香醉人』19枝蓝色妖姬 韩式花束 七夕情人节礼物鲜花店,,ZMM015	,1,598.0,259.0,339.0,339.0,0.0,否,0,0.0,0.0,0.0,是,满59.0元赠赠送精美贺卡（可写祝福语*1/购买『幽香醉人』19枝蓝色妖姬 韩式花束 七夕情人节礼物鲜花店原价598.0元现价259.0元	,否,未回复,,0.00分,0.0,,其他	,0
12521,	20200824-20200826,89025482342655417,2020-08-25 11:49:48	,0秒,幸福花店（七夕预定，表白，鲜花）	,8902548,黔东南苗族侗族自治州	,在线支付,订单取消,用户提交订单,否,159.0,109.0,0.0,69.0,蓝色爱恋づ———	,『Blue A1款』11枝蓝色玫瑰鲜花儿+配草 礼盒,,AWE123456	,1,159.0,109.0,50.0,50.0,0.0,否,0,0.0,0.0,0.0,是,满100.0元减50.0元/满59.0元赠赠送精美贺卡（可写祝福语*1	,否,未回复,,0.00分,0.0,,其他	,0
12525,	20200824-20200826,89025482386186755,2020-08-25 10:21:28	,0秒,幸福花店（七夕预定，表白，鲜花）	,8902548,黔东南苗族侗族自治州	,在线支付,订单取消,用户提交订单,否,298.0,159.0,0.0,158.0,约惠七夕11枝	,『鸳鸯比翼』11枝粉玫瑰搭配粉玫瑰礼盒七夕情人节礼物鲜花,,ZMM023	,1,298.0,159.0,139.0,139.0,0.0,否,0,0.0,0.0,0.0,是,满59.0元赠赠送精美贺卡（可写祝福语*1/购买『鸳鸯比翼』11枝粉玫瑰搭配粉玫瑰礼盒七夕情人节礼物鲜花原价298.0元现价159.0元	,否,未回复,,0.00分,0.0,,其他	,0
12527,	20200824-20200826,89025483382704585,2020-08-25 10:34:48	,35秒,幸福花店（七夕预定，表白，鲜花）	,8902548,黔东南苗族侗族自治州	,在线支付,订单取消,用户提交订单,否,399.0,179.0,0.0,239.0,约惠七夕19枝	,『情意绵绵』19枝红玫瑰搭配满天星礼盒七夕情人节礼物鲜花店,,31401	,1,399.0,179.0,220.0,220.0,0.0,否,0,0.0,0.0,0.0,是,满59.0元赠赠送精美贺卡（可写祝福语*1/购买『情意绵绵』19枝红玫瑰搭配满天星礼盒七夕情人节礼物鲜花店原价399.0元现价179.0元	,否,未回复,,0.00分,0.0,,其他	,35
12530,	20200824-20200826,89025481223213925,2020-08-25 10:57:33	,0秒,幸福花店（七夕预定，表白，鲜花）	,8902548,黔东南苗族侗族自治州	,在线支付,订单取消,用户提交订单,否,148.0,98.0,0.0,69.0,向日葵花づ———	,『平易近人』3朵向日葵搭配尤加利花束送长辈送父亲鲜花,,ADR1	,1,148.0,98.0,50.0,50.0,0.0,否,0,0.0,0.0,0.0,是,满100.0元减50.0元/满59.0元赠赠送精美贺卡（可写祝福语*1	,否,未回复,,0.00分,0.0,,其他	,0
12531,	20200824-20200826,89025484016847411,2020-08-25 11:07:15	,0秒,幸福花店（七夕预定，表白，鲜花）	,8902548,黔东南苗族侗族自治州	,在线支付,订单取消,用户提交订单,否,148.0,98.0,0.0,69.0,向日葵花づ———	,『平易近人』3朵向日葵搭配尤加利花束送长辈送父亲鲜花,,ADR1	,1,148.0,98.0,50.0,50.0,0.0,否,0,0.0,0.0,0.0,是,满100.0元减50.0元/满59.0元赠赠送精美贺卡（可写祝福语*1	,否,未回复,,0.00分,0.0,,其他	,0
12532,	20200824-20200826,89025483892506751,2020-08-25 11:13:18	,147秒,幸福花店（七夕预定，表白，鲜花）	,8902548,黔东南苗族侗族自治州	,在线支付,订单取消,用户提交订单,否,138.0,88.0,0.0,69.0,生日快乐づ———	,『恩重如山』5枝向日葵花束 教师节礼物 送老师,,EZRS08	,1,138.0,88.0,50.0,50.0,0.0,否,0,0.0,0.0,0.0,是,满100.0元减50.0元/满59.0元赠赠送精美贺卡（可写祝福语*1	,否,未回复,,0.00分,0.0,,其他	,147
12533,	20200824-20200826,89025480075108782,2020-08-25 11:14:35	,0秒,幸福花店（七夕预定，表白，鲜花）	,8902548,黔东南苗族侗族自治州	,在线支付,订单取消,用户提交订单,否,258.0,158.0,0.0,119.0,活动专区づ———	,『嫁给我吧』11枝红玫瑰花束情人节送女友送闺蜜鲜花店,,,1,258.0,158.0,100.0,100.0,0.0,否,0,0.0,0.0,0.0,是,满200.0元减100.0元/满59.0元赠赠送精美贺卡（可写祝福语*1	,否,未回复,,0.00分,0.0,,其他	,0
12534,	20200824-20200826,89025481294596594,2020-08-25 11:23:34	,0秒,幸福花店（七夕预定，表白，鲜花）	,8902548,黔东南苗族侗族自治州	,在线支付,订单取消,用户提交订单,否,269.0,159.0,0.0,129.0,约惠七夕11枝	,『情人知己』11枝红玫瑰搭配满天星礼盒七夕情人节礼物鲜花店,,qx20200825001	,1,269.0,159.0,110.0,110.0,0.0,否,0,0.0,0.0,0.0,是,满59.0元赠赠送精美贺卡（可写祝福语*1/购买『情人知己』11枝红玫瑰搭配满天星礼盒七夕情人节礼物鲜花店原价269.0元现价159.0元	,否,未回复,,0.00分,0.0,,其他	,0
12546,	20200824-20200826,89025481165886577,2020-08-25 17:06:56	,0秒,幸福花店（七夕预定，表白，鲜花）	,8902548,黔东南苗族侗族自治州	,在线支付,订单取消,用户提交订单,是,348.0,134.0,0.0,233.0,活动专区づ———	,『情有独钟』11枝红玫瑰鲜花礼盒七夕情人节送女友表白礼物,,ASD12354	,1,348.0,134.0,214.0,214.0,0.0,否,0,0.0,0.0,0.0,是,满59.0元赠赠送精美贺卡（可写祝福语*1/购买『情有独钟』11枝红玫瑰鲜花礼盒七夕情人节送女友表白礼物原价348.0元现价139.0元/用户使用了商家代金券减5元	,否,未回复,,0.00分,0.0,,其他	,0
12547,	20200824-20200826,89025480678856768,2020-08-25 18:13:04	,0秒,幸福花店（七夕预定，表白，鲜花）	,8902548,黔东南苗族侗族自治州	,在线支付,订单取消,用户提交订单,是,299.0,144.0,0.0,174.0,约惠七夕11枝	,『纸短情长』11枝粉玫瑰搭配尤加礼盒七夕情人节礼物鲜花店,,YC001	,1,299.0,144.0,155.0,155.0,0.0,否,0,0.0,0.0,0.0,是,满59.0元赠赠送精美贺卡（可写祝福语*1/购买『纸短情长』11枝粉玫瑰搭配尤加礼盒七夕情人节礼物鲜花店原价299.0元现价149.0元/用户使用了商家代金券减5元	,否,未回复,,0.00分,0.0,,其他	,0
12549,	20200824-20200826,89025483266318408,2020-08-25 18:59:48	,0秒,幸福花店（七夕预定，表白，鲜花）	,8902548,黔东南苗族侗族自治州	,在线支付,订单取消,用户提交订单,是,238.0,138.0,0.0,119.0,活动专区づ———	,『永久的爱』19枝红玫瑰搭配尤加利花束520情人节礼物鲜花,,BK12321A	,1,238.0,138.0,100.0,100.0,0.0,否,0,0.0,0.0,0.0,是,满200.0元减100.0元/满59.0元赠赠送精美贺卡（可写祝福语*1	,否,未回复,,0.00分,0.0,,其他	,0
12550,	20200824-20200826,89025480312975728,2020-08-25 19:27:24	,0秒,幸福花店（七夕预定，表白，鲜花）	,8902548,黔东南苗族侗族自治州	,在线支付,订单取消,用户提交订单,是,238.0,138.0,0.0,119.0,活动专区づ———	,『永久的爱』19枝红玫瑰搭配尤加利花束520情人节礼物鲜花,,BK12321A	,1,238.0,138.0,100.0,100.0,0.0,否,0,0.0,0.0,0.0,是,满200.0元减100.0元/满59.0元赠赠送精美贺卡（可写祝福语*1	,否,未回复,,0.00分,0.0,,其他	,0
12555,	20200824-20200826,89025482474991043,2020-08-25 22:52:20	,0秒,幸福花店（七夕预定，表白，鲜花）	,8902548,黔东南苗族侗族自治州	,在线支付,订单取消,用户提交订单,否,298.0,298.0,0.0,0.0,节日专区づ———>教师节区づ———	,『芬芳的心』19枝香槟玫瑰+4枝向日葵搭配桔梗花束 教师节,,FFDX23	,1,298.0,298.0,0.0,0.0,0.0,否,0,0.0,0.0,0.0,否,,否,未回复,,0.00分,0.0,,其他	,0
12556,	20200824-20200826,89025482631357360,2020-08-25 22:57:12	,0秒,幸福花店（七夕预定，表白，鲜花）	,8902548,黔东南苗族侗族自治州	,在线支付,订单取消,用户提交订单,否,598.0,254.0,0.0,363.0,约惠七夕33枝	,『一见钟情』33枝香槟玫瑰搭配桔梗花束七夕情人节礼物鲜花,,DBC11	,1,598.0,254.0,344.0,344.0,0.0,否,0,0.0,0.0,0.0,是,满59.0元赠赠送精美贺卡（可写祝福语*1/购买『一见钟情』33枝香槟玫瑰搭配桔梗花束七夕情人节礼物鲜花原价598.0元现价259.0元/用户使用了商家代金券减5元	,否,未回复,,0.00分,0.0,,其他	,0
12568,	20200824-20200826,89025952888743183,2020-08-24 21:39:04	,19秒,千卉阁花艺（七夕节日，表白，鲜花）	,8902595,杭州	,在线支付,订单取消,用户提交订单,否,498.0,236.0,0.0,281.0,约惠七夕33枝	,『甘棠之爱』33枝红玫瑰搭配尤加利韩式花束七夕情人节礼物鲜花,,ZMM005	,1,498.0,236.0,262.0,262.0,0.0,否,0,0.0,0.0,0.0,是,满59.0元赠赠送精美贺卡（可写祝福语*1/购买『甘棠之爱』33枝红玫瑰搭配尤加利韩式花束七夕情人节礼物鲜花原价498.0元现价239.0元/门店新客立减3.0元/送3元商家代金券	,否,未回复,,0.00分,0.0,,其他	,19
12572,	20200824-20200826,89025950062270945,2020-08-25 22:33:18	,75秒,千卉阁花艺（七夕节日，表白，鲜花）	,8902595,杭州	,在线支付,订单取消,用户提交订单,否,308.0,128.0,0.0,199.0,约惠七夕11枝	,『情投意合』11枝红玫瑰搭配尤加利花束七夕情人节礼物鲜花店,,TH002	,1,298.0,121.0,177.0,177.0,0.0,否,0,0.0,0.0,10.0,是,满59.0元赠赠送精美贺卡（可写祝福语*1/购买『情投意合』11枝红玫瑰搭配尤加利花束七夕情人节礼物鲜花店原价298.0元现价129.0元/门店新客立减3.0元/减配送费3.0元/送3元商家代金券/用户使用了商家代金券减5元	,否,未回复,,0.00分,0.0,,其他	,75
12573,	20200824-20200826,89025953266318408,2020-08-25 22:33:29	,67秒,千卉阁花艺（七夕节日，表白，鲜花）	,8902595,杭州	,在线支付,订单取消,用户提交订单,否,280.0,175.0,0.0,124.0,臻选高端づ———	,『如星璀璨』满天星花束 糖果球抖音网红灯送女友送老婆生日礼物,,RXCC10	,1,278.0,175.0,103.0,103.0,0.0,否,0,0.0,0.0,2.0,是,满200.0元减100.0元/满59.0元赠赠送精美贺卡（可写祝福语*1/门店新客立减3.0元/减配送费3.0元/送3元商家代金券	,否,未回复,,0.00分,0.0,,其他	,67
12575,	20200824-20200826,89025952386186755,2020-08-25 00:48:36	,0秒,千卉阁花艺（七夕节日，表白，鲜花）	,8902595,杭州	,在线支付,订单取消,用户提交订单,否,268.0,138.0,0.0,149.0,店长推荐づ——	,『爱不释手』8枝粉玫瑰+3枝白玫瑰礼盒520送女友情人节鲜花,,ZMM012	,1,258.0,131.0,127.0,127.0,0.0,否,0,0.0,0.0,10.0,是,满59.0元赠赠送精美贺卡（可写祝福语*1/购买『爱不释手』8枝粉玫瑰+3枝白玫瑰礼盒七夕礼物情人节鲜花原价258.0元现价139.0元/门店新客立减3.0元/减配送费3.0元/送3元商家代金券/用户使用了商家代金券减5元	,否,未回复,,0.00分,0.0,,其他	,0
12599,	20200824-20200826,89025953605089781,2020-08-25 08:26:43	,20秒,千卉阁花艺（七夕节日，表白，鲜花）	,8902595,杭州	,在线支付,订单取消,已取消,否,256.0,146.0,0.0,129.0,约惠七夕19枝	,『风情月意』19枝粉玫瑰搭配尤加利韩式花束七夕情人节礼物鲜花,,38014	,1,256.0,146.0,110.0,110.0,0.0,否,0,0.0,0.0,0.0,是,满59.0元赠赠送精美贺卡（可写祝福语*1/购买『风情月意』19枝粉玫瑰搭配尤加利韩式花束七夕情人节礼物鲜花原价256.0元现价149.0元/门店新客立减3.0元/送3元商家代金券	,是,未回复,,46.77分,0.0,,其他	,20
12616,	20200824-20200826,89580233213192828,2020-08-25 15:05:23	,19秒,钟爱一生婚庆策划	,8958023,汕尾	,在线支付,订单取消,用户提交订单,否,188.0,124.0,0.0,103.0,原创花束づ———	,『如花释放』3枝向日葵搭配3枝香槟玫瑰鲜花,,YC001	,1,188.0,124.0,64.0,64.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『如花释放』3枝向日葵搭配3枝香槟玫瑰混搭花束七夕情人节原价188.0元现价129.0元/用户使用了商家代金券减5元	,否,未回复,,0.00分,0.0,,其他	,19
12623,	20200824-20200826,89580230372010069,2020-08-25 19:26:54	,20秒,钟爱一生婚庆策划	,8958023,汕尾	,在线支付,订单取消,用户提交订单,否,218.0,198.0,0.0,59.0,送长辈们づ———	,『犹报春归』7朵向日葵搭配2朵百合,,SADF231F	,1,218.0,198.0,20.0,20.0,0.0,否,0,0.0,0.0,0.0,是,满100.0元减20.0元/满39.9元赠精美贺卡（可写祝福语）*1	,否,未回复,,0.00分,0.0,,其他	,20
12625,	20200824-20200826,89580233605089781,2020-08-25 20:58:37	,0秒,钟爱一生婚庆策划	,8958023,汕尾	,在线支付,订单取消,用户提交订单,否,245.0,225.0,0.0,59.0,约惠七夕11枝	,『初恋的味道』9枝粉玫瑰花搭配满天星花束送闺蜜生日花鲜花店,,cldwdzk003	,1,245.0,225.0,20.0,20.0,0.0,否,0,0.0,0.0,0.0,是,满100.0元减20.0元/满39.9元赠精美贺卡（可写祝福语）*1	,否,未回复,,0.00分,0.0,,其他	,0
12644,	20200824-20200826,89580260408368023,2020-08-25 08:56:49	,0秒,花时花开	,8958026,厦门	,在线支付,订单取消,用户提交订单,否,189.0,189.0,0.0,0.0,活动专区づ———	,『用心爱你』19枝红玫瑰礼盒情人节送女友送闺蜜鲜花,,DD124	,1,189.0,189.0,0.0,0.0,0.0,否,0,0.0,0.0,0.0,否,,否,未回复,,0.00分,0.0,,其他	,0
12650,	20200824-20200826,89580264016847411,2020-08-25 14:53:33	,0秒,花时花开	,8958026,厦门	,在线支付,订单取消,用户提交订单,否,320.0,136.0,0.0,203.0,折扣专区づ———	,『痴心』11枝红玫瑰花礼盒 送女友鼠年朋友生日礼物送女友,,,1,320.0,136.0,184.0,184.0,0.0,否,0,0.0,0.0,0.0,是,满59.0元赠赠送精美贺卡（可写祝福语*1/购买『痴心』11枝红玫瑰花礼盒 送女友七夕情人节礼物原价320.0元现价139.0元/门店新客立减3.0元/送3元商家代金券	,否,未回复,,0.00分,0.0,,其他	,0
12655,	20200824-20200826,89580262718691708,2020-08-25 21:32:07	,0秒,花时花开	,8958026,厦门	,在线支付,订单取消,用户提交订单,是,498.0,156.0,0.0,361.0,约惠七夕19枝	,『国色天香』19枝红玫瑰精致抱抱通七夕情人节礼物鲜花店,,TH009	,1,498.0,156.0,342.0,342.0,0.0,否,0,0.0,0.0,0.0,是,满59.0元赠赠送精美贺卡（可写祝福语*1/购买『国色天香』19枝红玫瑰精致抱抱通七夕情人节礼物鲜花店原价498.0元现价159.0元/门店新客立减3.0元/送3元商家代金券	,否,未回复,,0.00分,0.0,,其他	,0
12656,	20200824-20200826,89580263968253920,2020-08-25 22:06:11	,0秒,花时花开	,8958026,厦门	,在线支付,订单取消,用户提交订单,否,298.0,126.0,0.0,191.0,约惠七夕11枝	,『情投意合』11枝红玫瑰搭配尤加利花束七夕情人节礼物鲜花店,,TH002	,1,298.0,126.0,172.0,172.0,0.0,否,0,0.0,0.0,0.0,是,满59.0元赠赠送精美贺卡（可写祝福语*1/购买『情投意合』11枝红玫瑰搭配尤加利花束七夕情人节礼物鲜花店原价298.0元现价129.0元/门店新客立减3.0元/送3元商家代金券	,否,未回复,,0.00分,0.0,,其他	,0
12657,	20200824-20200826,89580263123430734,2020-08-25 22:10:19	,0秒,花时花开	,8958026,厦门	,在线支付,订单取消,用户提交订单,否,399.0,141.0,0.0,277.0,约惠七夕19枝	,『情意绵绵』19枝红玫瑰搭配满天星礼盒七夕情人节礼物鲜花店,,31401	,1,399.0,141.0,258.0,258.0,0.0,否,0,0.0,0.0,0.0,是,满59.0元赠赠送精美贺卡（可写祝福语*1/购买『情意绵绵』19枝红玫瑰搭配满天星礼盒七夕情人节礼物鲜花店原价399.0元现价149.0元/门店新客立减3.0元/送3元商家代金券/用户使用了商家代金券减5元	,否,未回复,,0.00分,0.0,,其他	,0
12660,	20200824-20200826,89580263892506751,2020-08-25 15:29:23	,0秒,花时花开	,8958026,厦门	,在线支付,订单取消,用户提交订单,否,198.0,145.0,0.0,72.0,原创花束づ———	,『花开那年』9朵百合搭配尤加利花束送父母送老师鲜花,,YC012	,1,198.0,145.0,53.0,53.0,0.0,否,0,0.0,0.0,0.0,是,满100.0元减50.0元/满59.0元赠赠送精美贺卡（可写祝福语*1/门店新客立减3.0元/送3元商家代金券	,否,未回复,,0.00分,0.0,,其他	,0
12661,	20200824-20200826,89580273049752078,2020-08-24 15:19:56	,47秒,芙蓉仙鲜花店（七夕情人节，礼物，鲜花）	,8958027,厦门	,在线支付,订单取消,用户提交订单,否,298.0,155.0,0.0,182.0,店长推荐づ——	,『雅致婉约』19枝香槟玫瑰搭配情人草礼盒520情人节礼物鲜花,,ZMM020	,1,298.0,155.0,143.0,143.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『雅致婉约』19枝香槟玫瑰搭配情人草礼盒七夕礼物情人节鲜花原价298.0元现价158.0元/门店新客立减3.0元/送3元商家代金券	,否,未回复,,0.00分,0.0,,其他	,47
12675,	20200824-20200826,89580271294596594,2020-08-25 20:34:53	,58秒,芙蓉仙鲜花店（七夕情人节，礼物，鲜花）	,8958027,厦门	,在线支付,订单取消,已送达,否,269.0,143.0,8.0,157.0,约惠七夕11枝	,『情人知己』11枝红玫瑰搭配满天星礼盒七夕情人节礼物鲜花店,,qx20200825001	,1,269.0,143.0,126.0,118.0,8.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/用户使用了首单支付红包减8元/购买『情人知己』11枝红玫瑰搭配满天星礼盒七夕情人节礼物鲜花店原价269.0元现价159.0元/门店新客立减3.0元/送3元商家代金券/用户使用了商家代金券减5元	,是,未回复,,42.57分,0.0,,其他	,58
12681,	20200824-20200826,89580271390729896,2020-08-26 15:51:10	,100秒,芙蓉仙鲜花店（七夕情人节，礼物，鲜花）	,8958027,厦门	,在线支付,订单取消,用户提交订单,否,598.0,264.0,0.0,373.0,约惠七夕33枝	,『瑰丽娇嫩』33枝粉玫瑰搭配满天星花束七夕情人节礼物鲜花店,,XH009	,1,598.0,264.0,334.0,334.0,0.0,否,0,0.0,0.0,0.0,是,满39.9元赠精美贺卡（可写祝福语）*1/购买『瑰丽娇嫩』33枝粉玫瑰搭配满天星花束七夕情人节礼物鲜花店原价598.0元现价269.0元/送3元商家代金券/用户使用了商家代金券减5元	,否,未回复,,0.00分,0.0,,其他	,100
12685,	20200824-20200826,89580282386186755,2020-08-25 22:01:32	,0秒,时尚花店	,8958028,武威	,在线支付,订单取消,用户提交订单,否,245.0,149.0,0.0,115.0,店长推荐づ——	,『亭亭玉立』11枝粉玫瑰配尤加利韩式花束情人节七夕礼物鲜花,,TH001	,1,245.0,149.0,96.0,96.0,0.0,否,0,0.0,0.0,0.0,是,满59.0元赠赠送精美贺卡（可写祝福语*1/购买『亭亭玉立』11枝粉玫瑰配尤加利韩式花束情人节七夕礼物鲜花原价245.0元现价149.0元	,否,未回复,,0.00分,0.0,,其他	,0
